ts,reason,cancel_aggressive_policy,policy_enabled,trade_side,trade_px,mid_at_trigger,bid_px,ask_px,spread_bps,tfi,last_quote_fade_age_ms,ret_1s_bps,ret_3s_bps,ret_5s_bps,directional_ret_1s_bps,directional_ret_3s_bps,directional_ret_5s_bps,suppression_result_1s,suppression_result_3s,suppression_result_5s
1777015135.9550157,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,2501.746654510498,-0.7354611233070573,-0.7354611233070573,-1.1248228944711214,0.7354611233070573,0.7354611233070573,1.1248228944711214,unsafe_suppression,unsafe_suppression,unsafe_suppression
1777015136.205065,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,2751.796007156372,-0.7354611233070573,-0.7354611233070573,-1.1248228944711214,0.7354611233070573,0.7354611233070573,1.1248228944711214,unsafe_suppression,unsafe_suppression,unsafe_suppression
1777015136.975014,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.31,2311.3050000000003,2311.3,2311.31,0.04326560103389007,0.6,3521.744966506958,0.0,-0.38939040931484814,-0.38939040931484814,0.0,-0.38939040931484814,-0.38939040931484814,neutral,safe_suppression,safe_suppression
1777015139.4674668,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.3,2311.3050000000003,2311.3,2311.31,0.04326560103389007,0.5714285714285714,1260.284185409546,-0.38939040931484814,-0.38939040931484814,-0.38939040931484814,0.38939040931484814,0.38939040931484814,0.38939040931484814,unsafe_suppression,unsafe_suppression,unsafe_suppression
1777015140.7062268,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.23,2311.215,2311.21,2311.22,0.04326728582050363,0.27536231884057966,1000.5872249603271,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777015140.96889,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.23,2311.215,2311.21,2311.22,0.04326728582050363,0.27536231884057966,1263.2503509521484,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777015141.2061849,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.23,2311.215,2311.21,2311.22,0.04326728582050363,0.27536231884057966,1500.5452632904053,0.0,0.0,1.038414859715698,-0.0,-0.0,-1.038414859715698,neutral,neutral,safe_suppression
1777015141.468617,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.22,2311.215,2311.21,2311.22,0.04326728582050363,0.5575221238938053,1762.9773616790771,0.0,0.0,1.038414859715698,0.0,0.0,1.038414859715698,neutral,neutral,unsafe_suppression
1777015157.9541323,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.79,2311.785,2311.78,2311.79,0.043256617720780835,0.26315789473684204,1749.2480278015137,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015215.2052305,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2312.36,2312.365,2312.36,2312.37,0.04324576786002008,-0.6008492569002123,1000.8409023284912,0.0,-0.389211910748047,-0.7784238214980607,-0.0,0.389211910748047,0.7784238214980607,neutral,unsafe_suppression,unsafe_suppression
