ts,in_quote,quote_ts,quote_leg,quote_price,quote_lifetime_sec,trade_side,trade_px,mid_perp,bid_px,ask_px,spread_bps,tfi,proximity_to_quote_bps,proximity_to_best_bps,danger_direction_match,trade_reuse_key,duplicate_trade_signal,time_since_quote_ms,time_to_quote_end_ms
1777017816.8022652,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017816.8,False,,
1777017817.0442095,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017817.0,False,,
1777017817.3031409,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017817.3,False,,
1777017817.5549495,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017817.5,False,,
1777017818.0548015,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017818.0,False,,
1777017818.5702567,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-1.0,,0.0,unknown,sell:2310.06:1777017818.5,False,,
1777017818.825073,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-1.0,,0.0,unknown,sell:2310.06:1777017818.8,False,,
1777017819.0862882,False,,,,,sell,2310.01,2310.005,2310.0,2310.01,0.04328994958979863,-1.0,,0.04329004329098822,unknown,sell:2310.01:1777017819.0,False,,
1777017819.3518207,False,,,,,sell,2310.01,2310.005,2310.0,2310.01,0.04328994958979863,-1.0,,0.04329004329098822,unknown,sell:2310.01:1777017819.3,False,,
1777017819.6032512,False,,,,,buy,2310.03,2310.005,2310.0,2310.01,0.04328994958979863,-0.9947626841243864,,0.08657971177606075,unknown,buy:2310.03:1777017819.6,False,,
1777017819.8683834,False,,,,,buy,2310.03,2310.115,2310.11,2310.12,0.04328788826427919,-0.9947626841243864,,0.3895901511596401,unknown,buy:2310.03:1777017819.8,False,,
1777017820.1492,False,,,,,buy,2310.03,2310.115,2310.11,2310.12,0.04328788826427919,-0.9947626841243864,,0.3895901511596401,unknown,buy:2310.03:1777017820.1,False,,
1777017820.4023888,False,,,,,buy,2310.03,2310.115,2310.11,2310.12,0.04328788826427919,-0.9947626841243864,,0.3895901511596401,unknown,buy:2310.03:1777017820.4,False,,
1777017820.6637278,False,,,,,buy,2310.03,2310.115,2310.11,2310.12,0.04328788826427919,-0.9947626841243864,,0.3895901511596401,unknown,buy:2310.03:1777017820.6,False,,
1777017820.9031606,False,,,,,buy,2310.03,2310.115,2310.11,2310.12,0.04328788826427919,-0.9947626841243864,,0.3895901511596401,unknown,buy:2310.03:1777017820.9,False,,
1777017821.1672833,False,,,,,buy,2310.03,2310.115,2310.11,2310.12,0.04328788826427919,-0.9947626841243864,,0.3895901511596401,unknown,buy:2310.03:1777017821.1,False,,
1777017821.4399903,False,,,,,sell,2310.11,2310.115,2310.11,2310.12,0.04328788826427919,-0.9701492537313433,,0.0,unknown,sell:2310.11:1777017821.4,False,,
1777017821.7021153,False,,,,,sell,2310.11,2310.115,2310.11,2310.12,0.04328788826427919,-0.9701492537313433,,0.0,unknown,sell:2310.11:1777017821.7,False,,
1777017821.9714754,False,,,,,sell,2310.11,2310.115,2310.11,2310.12,0.04328788826427919,-0.9701492537313433,,0.0,unknown,sell:2310.11:1777017821.9,False,,
1777017822.4897227,False,,,,,sell,2310.11,2310.115,2310.11,2310.12,0.04328788826427919,-0.9701492537313433,,0.0,unknown,sell:2310.11:1777017822.4,False,,
1777017822.7362578,False,,,,,buy,2310.12,2310.115,2310.11,2310.12,0.04328788826427919,-0.7128953771289538,,0.0,unknown,buy:2310.12:1777017822.7,False,,
1777017824.0048704,False,,,,,buy,2310.12,2310.115,2310.11,2310.12,0.04328788826427919,0.8447488584474886,,0.0,unknown,buy:2310.12:1777017824.0,False,,
1777017824.2583985,False,,,,,buy,2310.12,2310.115,2310.11,2310.12,0.04328788826427919,0.8447488584474886,,0.0,unknown,buy:2310.12:1777017824.2,False,,
1777017824.5023499,False,,,,,buy,2310.12,2310.115,2310.11,2310.12,0.04328788826427919,0.8447488584474886,,0.0,unknown,buy:2310.12:1777017824.5,False,,
1777017825.002646,False,,,,,buy,2310.12,2310.115,2310.11,2310.12,0.04328788826427919,0.8447488584474886,,0.0,unknown,buy:2310.12:1777017825.0,False,,
1777017825.501555,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017825.5,False,,
1777017825.7604682,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017825.7,False,,
1777017826.0023756,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017826.0,False,,
1777017826.2588565,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017826.2,False,,
1777017826.5022473,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017826.5,False,,
1777017826.7498002,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017826.7,False,,
1777017827.0032659,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017827.0,False,,
1777017827.2612238,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017827.2,False,,
1777017827.5013554,False,,,,,buy,2310.27,2310.355,2310.35,2310.36,0.043283391514370204,0.9066666666666665,,0.38954968056989175,unknown,buy:2310.27:1777017827.5,False,,
1777017827.7636762,False,,,,,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,0.7763975155279502,,0.0,unknown,sell:2310.25:1777017827.7,False,,
1777017828.0017414,False,,,,,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,0.7763975155279502,,0.0,unknown,sell:2310.25:1777017828.0,False,,
1777017828.2678845,False,,,,,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,0.7763975155279502,,0.0,unknown,sell:2310.25:1777017828.2,False,,
1777017828.504118,False,,,,,sell,2310.02,2310.145,2310.14,2310.15,0.04328732612116676,0.38121546961325947,,0.5194490377201852,unknown,sell:2310.02:1777017828.5,False,,
1777017828.7669373,False,,,,,sell,2310.02,2310.005,2310.0,2310.01,0.04328994958979863,0.38121546961325947,,0.08658008658000783,unknown,sell:2310.02:1777017828.7,False,,
1777017829.004457,False,,,,,sell,2310.02,2310.005,2310.0,2310.01,0.04328994958979863,0.38121546961325947,,0.08658008658000783,unknown,sell:2310.02:1777017829.0,False,,
1777017829.2672498,False,,,,,sell,2310.02,2310.005,2310.0,2310.01,0.04328994958979863,0.38121546961325947,,0.08658008658000783,unknown,sell:2310.02:1777017829.2,False,,
1777017829.7659793,False,,,,,sell,2310.02,2310.005,2310.0,2310.01,0.04328994958979863,0.38121546961325947,,0.08658008658000783,unknown,sell:2310.02:1777017829.7,False,,
