ts,leg,side,price,qty,mid_perp,micro_price,bid_px,ask_px,spread_bps,tfi,obi,base_half_spread_bps,min_half_spread_bps,one_sided_quote_policy,cancel_aggressive_policy,quote_distance_from_mid_bps,quote_distance_from_micro_bps,quote_distance_from_best_bps,aggressive_vs_best,directional_alignment,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
1777018581.1001105,bid,buy,2312.0,0.21,2316.065,2316.0699975403386,2316.05,2316.06,0.043176867560414285,0.5737797956867215,0.9649135142736605,18.0,18.0,current,current,17.55132088261795,17.57286068495736,17.486669113361895,passive_inside_book,neutral,0.25906968116760254,cancel_aggressive,1,0,0
1777018581.1001105,ask,sell,2320.34,0.25,2316.065,2316.0699975403386,2316.05,2316.06,0.043176867560414285,0.5737797956867215,0.9649135142736605,18.0,18.0,current,current,18.45803118651718,18.436413684371754,18.479659421604794,passive_inside_book,neutral,0.25906968116760254,cancel_aggressive,1,0,0
1777018581.604276,bid,buy,2311.92,0.21,2316.375,2316.370003265839,2316.37,2316.38,0.04317090281244738,0.8770685579196222,-0.9793783169067474,18.0,18.0,current,current,19.232637202525183,19.211107290997642,19.211093219130873,passive_inside_book,with_flow,0.25106215476989746,cancel_aggressive,1,0,0
1777018581.604276,ask,sell,2324.42,0.25,2316.375,2316.370003265839,2316.37,2316.38,0.04317090281244738,0.8770685579196222,-0.9793783169067474,18.0,18.0,current,current,34.73099131185612,34.752637630479974,34.70933093879227,passive_inside_book,against_flow,0.25106215476989746,cancel_aggressive,1,0,0
1777018622.80497,bid,buy,2309.92,0.21,2314.0150000000003,2314.0188236791855,2314.01,2314.02,0.043214931622152536,0.6806927944931724,0.7656954772644154,18.0,18.0,current,current,17.69651449969103,17.713009234162143,17.674945224956442,passive_inside_book,with_flow,0.26344799995422363,cancel_aggressive,1,0,0
1777018622.805969,ask,sell,2322.42,0.25,2314.0150000000003,2314.0188236791855,2314.01,2314.02,0.043214931622152536,0.6806927944931724,0.7656954772644154,18.0,18.0,current,current,36.32215002927701,36.30556603449347,36.30046412736316,passive_inside_book,against_flow,0.2624490261077881,cancel_aggressive,1,0,0
1777018632.0668876,bid,buy,2311.04,0.21,2315.045,2315.0460655737706,2315.35,2315.36,0.043189921200931514,0.9334153506239175,0.8718905472636815,18.0,18.0,current,current,17.299879699963107,17.30447455600761,18.614896235990003,passive_inside_book,with_flow,0.23005986213684082,cancel_aggressive,1,0,0
1777018632.0668876,ask,sell,2323.55,0.25,2315.045,2315.0460655737706,2315.35,2315.36,0.043189921200931514,0.9334153506239175,0.8718905472636815,18.0,18.0,current,current,36.73794677857281,36.73332704989559,35.37246907608343,passive_inside_book,against_flow,0.23005986213684082,cancel_aggressive,1,0,0
1777018745.305286,bid,buy,2313.48,0.21,2317.495,2317.49997177741,2317.29,2317.3,0.04315376333275771,0.7629092791510289,0.9985991945368587,18.0,18.0,current,current,17.324740722201657,17.346156748069955,16.441619305308983,passive_inside_book,with_flow,0.27044105529785156,cancel_aggressive,1,0,0
1777018745.305286,ask,sell,2326.0,0.25,2317.495,2317.49997177741,2317.29,2317.3,0.04315376333275771,0.7629092791510289,0.9985991945368587,18.0,18.0,current,current,36.69910830444126,36.67757638016715,37.543693091096614,passive_inside_book,against_flow,0.27044105529785156,cancel_aggressive,1,0,0
1777018766.5049949,bid,buy,2313.73,0.21,2318.1549999999997,2318.1514968401007,2318.15,2318.16,0.0431377539455452,0.7879593810444876,-0.7292317301686446,18.0,18.0,current,current,19.088456121353953,19.07337309976349,19.066928369605385,passive_inside_book,with_flow,0.2619619369506836,cancel_aggressive,1,0,0
1777018766.5049949,ask,sell,2326.26,0.25,2318.1549999999997,2318.1514968401007,2318.15,2318.16,0.0431377539455452,0.7879593810444876,-0.7292317301686446,18.0,18.0,current,current,34.963149573693194,34.97831427735569,34.94150533181646,passive_inside_book,against_flow,0.2619619369506836,cancel_aggressive,1,0,0
1777018790.6030629,bid,buy,2312.85,0.21,2317.505,2317.5000689485346,2317.5,2317.51,0.04314985296781788,0.04934464148033958,-0.9967741096282421,18.0,18.0,current,current,20.08625655608165,20.065021834689517,20.064724919094242,passive_inside_book,neutral,0.25795531272888184,cancel_aggressive,1,0,0
1777018790.6030629,ask,sell,2321.19,0.25,2317.505,2317.5000689485346,2317.5,2317.51,0.04314985296781788,0.04934464148033958,-0.9967741096282421,18.0,18.0,current,current,15.900720818293577,15.922032110832303,15.879111632743056,passive_inside_book,neutral,0.25795531272888184,cancel_aggressive,1,0,0
1777018792.1463847,bid,buy,2312.61,0.21,2316.9049999999997,2316.9063844352368,2317.18,2317.19,0.043155811902020245,-0.2021498954911912,0.8060674527524772,18.0,18.0,current,current,18.537661233411033,18.543625517627067,19.722248595274035,passive_inside_book,neutral,0.7937793731689453,cancel_aggressive,1,0,0
1777018792.1473827,ask,sell,2320.96,0.25,2316.9049999999997,2316.9063844352368,2317.18,2317.19,0.043155811902020245,-0.2021498954911912,0.8060674527524772,18.0,18.0,current,current,17.501796577763404,17.4958107586698,16.26970598008787,passive_inside_book,neutral,0.7927813529968262,cancel_aggressive,1,0,0
1777018792.4111507,bid,buy,2312.63,0.21,2316.9049999999997,2316.907243735763,2316.9,2316.91,0.04316102731775162,-0.2021498954911912,0.8653054262810361,18.0,18.0,current,current,18.451339178773566,18.461005494835554,18.42979843756736,passive_inside_book,neutral,0.5290133953094482,cancel_aggressive,1,0,0
1777018792.4121509,ask,sell,2320.9700000000003,0.25,2316.9049999999997,2316.907243735763,2316.9,2316.91,0.04316102731775162,-0.2021498954911912,0.8653054262810361,18.0,18.0,current,current,17.544957605083116,17.535256429542542,17.523339275157,passive_inside_book,neutral,0.5280132293701172,cancel_aggressive,1,0,0
1777018792.675962,bid,buy,2312.63,0.21,2316.9049999999997,2316.9072307211986,2316.9,2316.91,0.04316102731775162,-0.2021498954911912,0.8651932084309134,18.0,18.0,current,current,18.451339178773566,18.460949426391664,18.42979843756736,passive_inside_book,neutral,0.2642021179199219,cancel_aggressive,1,0,0
1777018792.675962,ask,sell,2320.9700000000003,0.25,2316.9049999999997,2316.9072307211986,2316.9,2316.91,0.04316102731775162,-0.2021498954911912,0.8651932084309134,18.0,18.0,current,current,17.544957605083116,17.535312700185155,17.523339275157,passive_inside_book,neutral,0.2642021179199219,cancel_aggressive,1,0,0
1777018853.0694318,bid,buy,2315.2400000000002,0.21,2319.425,2319.4297386334447,2319.42,2319.43,0.04311413388992328,0.10393258426966195,0.9473951715374843,18.0,18.0,current,current,18.043265033359322,18.063658336608842,18.021746816013643,passive_inside_book,neutral,0.48397397994995117,cancel_aggressive,1,0,0
1777018853.0694318,ask,sell,2323.59,0.25,2319.425,2319.4297386334447,2319.42,2319.43,0.04311413388992328,0.10393258426966195,0.9473951715374843,18.0,18.0,current,current,17.957036765577516,17.936569913114038,17.93544103508323,passive_inside_book,neutral,0.48397397994995117,cancel_aggressive,1,0,0
1777018853.3056107,bid,buy,2315.54,0.21,2319.715,2319.719998882556,2320.05,2320.06,0.04310242645007782,0.11836359457595919,0.9982427237781439,18.0,18.0,current,current,17.99790060416983,18.0194113279601,19.439236223358197,passive_inside_book,neutral,0.24779510498046875,cancel_aggressive,1,0,0
1777018853.3056107,ask,sell,2323.88,0.25,2319.715,2319.719998882556,2320.05,2320.06,0.04310242645007782,0.11836359457595919,0.9982427237781439,18.0,18.0,current,current,17.954791860206807,17.933203660131777,16.46509142005019,passive_inside_book,neutral,0.24779510498046875,cancel_aggressive,1,0,0
1777018865.8662395,bid,buy,2315.94,0.21,2320.385,2320.389553362328,2320.38,2320.39,0.043096296518739474,-0.5196977873718299,0.4466037617946635,18.0,18.0,current,current,19.15630380303339,19.175889478904512,19.134796886717066,passive_inside_book,neutral,0.23768234252929688,cancel_aggressive,1,0,0
1777018865.8662395,ask,sell,2324.29,0.25,2320.385,2320.389553362328,2320.38,2320.39,0.043096296518739474,-0.5196977873718299,0.4466037617946635,18.0,18.0,current,current,16.829103790964623,16.8094474999681,16.80751942561419,passive_inside_book,neutral,0.23768234252929688,cancel_aggressive,1,0,0
