scenario,ts,reason,trade_side,trade_px,mid_perp,bid_px,ask_px,spread_bps,tfi,in_quote,quote_leg,quote_lifetime_sec
18bps,1777018878.602387,cancel_aggressive,buy,2320.94,2320.935,2320.93,2320.94,0.04308608384215103,0.7490096656631275,False,,
18bps,1777018878.8645875,cancel_aggressive,buy,2321.27,2321.275,2321.27,2321.28,0.04307977297053679,0.506866416978777,False,,
18bps,1777018879.1012042,cancel_aggressive,buy,2321.27,2321.275,2321.27,2321.28,0.04307977297053679,0.506866416978777,False,,
18bps,1777018879.3613844,cancel_aggressive,sell,2321.27,2321.275,2321.27,2321.28,0.04307977297053679,0.4864532019704438,False,,
18bps,1777018879.6022658,cancel_aggressive,sell,2321.27,2321.275,2321.27,2321.28,0.04307977297053679,0.4864532019704438,False,,
18bps,1777018879.8598714,cancel_aggressive,buy,2321.28,2321.3450000000003,2321.34,2321.35,0.04307847390096487,0.7977691561590688,False,,
18bps,1777018880.1013408,cancel_aggressive,buy,2321.35,2321.3450000000003,2321.34,2321.35,0.04307847390096487,0.9134315964293128,False,,
18bps,1777018880.3541086,cancel_aggressive,buy,2321.35,2321.3450000000003,2321.34,2321.35,0.04307847390096487,0.9134315964293128,False,,
18bps,1777018880.6022377,cancel_aggressive,buy,2321.35,2321.3450000000003,2321.34,2321.35,0.04307847390096487,0.9134315964293128,False,,
18bps,1777018880.8456562,cancel_aggressive,buy,2322.0,2321.995,2321.99,2322.0,0.043066414872634434,0.9362120219680554,False,,
18bps,1777018881.1010478,cancel_aggressive,sell,2321.58,2321.415,2321.41,2321.42,0.04307717491365516,0.9468117255968569,False,,
18bps,1777018881.367216,cancel_aggressive,buy,2321.85,2321.895,2321.89,2321.9,0.04306826966860378,0.9469200030159087,False,,
18bps,1777018881.6007729,cancel_aggressive,buy,2321.85,2321.895,2321.89,2321.9,0.04306826966860378,0.9469200030159087,False,,
18bps,1777018881.8616314,cancel_aggressive,buy,2321.9,2322.025,2322.02,2322.03,0.04306585846499619,0.9473507085966419,False,,
18bps,1777018882.1011581,cancel_aggressive,buy,2321.83,2321.825,2321.82,2321.83,0.04306956811888722,0.9740003790032213,False,,
18bps,1777018882.345538,cancel_aggressive,buy,2321.84,2321.835,2321.83,2321.84,0.043069382622874915,0.98153332615484,False,,
18bps,1777018882.6023023,cancel_aggressive,buy,2321.88,2321.835,2321.83,2321.84,0.043069382622874915,0.9847075516317202,False,,
18bps,1777018882.8681278,cancel_aggressive,buy,2322.03,2322.025,2322.02,2322.03,0.04306585846499619,0.9917108231467395,False,,
18bps,1777018883.100085,cancel_aggressive,buy,2321.88,2322.025,2322.02,2322.03,0.04306585846499619,0.9912380851233307,False,,
18bps,1777018883.367421,cancel_aggressive,buy,2321.93,2321.875,2321.87,2321.88,0.043068640646969705,0.9918841359519326,False,,
18bps,1777018883.6003897,cancel_aggressive,buy,2321.93,2321.9449999999997,2321.94,2321.95,0.043067342248690355,0.9918841359519326,False,,
18bps,1777018883.8511212,cancel_aggressive,buy,2321.95,2321.9449999999997,2321.94,2321.95,0.043067342248690355,0.9924437650141952,False,,
18bps,1777018884.3656888,cancel_aggressive,buy,2321.95,2321.9449999999997,2321.94,2321.95,0.043067342248690355,0.9940862145436882,False,,
18bps,1777018884.5965762,cancel_aggressive,buy,2322.02,2322.025,2322.02,2322.03,0.04306585846499619,0.9942186983812357,False,,
18bps,1777018884.8584666,cancel_aggressive,sell,2322.03,2322.035,2322.03,2322.04,0.043065672997019994,0.9936892986617731,False,,
18bps,1777018885.1016045,cancel_aggressive,buy,2322.04,2322.035,2322.03,2322.04,0.043065672997019994,0.9937259438894697,False,,
18bps,1777018885.3570778,cancel_aggressive,buy,2322.04,2322.035,2322.03,2322.04,0.043065672997019994,0.9928994082840236,False,,
18bps,1777018885.6001854,cancel_aggressive,buy,2322.26,2322.395,2322.39,2322.4,0.04305899728607011,0.9937322787643635,False,,
18bps,1777018886.1011717,cancel_aggressive,sell,2322.15,2322.1549999999997,2322.15,2322.16,0.04306344752940063,0.855116746874443,True,bid,0.22780895233154297
18bps,1777018886.353596,cancel_aggressive,buy,2322.16,2322.1549999999997,2322.15,2322.16,0.04306344752940063,0.8560659718708894,False,,
18bps,1777018886.6003175,cancel_aggressive,buy,2322.06,2322.0550000000003,2322.05,2322.06,0.043065302069776684,0.8541301192654761,False,,
18bps,1777018886.8636193,cancel_aggressive,buy,2322.16,2322.335,2322.33,2322.34,0.04306010976115969,0.8544900605557024,False,,
18bps,1777018887.1022387,cancel_aggressive,buy,2322.42,2322.335,2322.33,2322.34,0.04306010976115969,0.8581741707764017,False,,
18bps,1777018887.3627627,cancel_aggressive,sell,2322.25,2322.1549999999997,2322.15,2322.16,0.04306344752940063,0.8361343347031317,False,,
18bps,1777018887.6021826,cancel_aggressive,sell,2322.25,2322.1549999999997,2322.15,2322.16,0.04306344752940063,0.8361343347031317,False,,
18bps,1777018887.8585622,cancel_aggressive,buy,2322.16,2322.1549999999997,2322.15,2322.16,0.04306344752940063,0.8365050190866676,False,,
18bps,1777018888.0964444,cancel_aggressive,buy,2322.16,2322.1549999999997,2322.15,2322.16,0.04306344752940063,0.8355473922515055,False,,
18bps,1777018888.3705647,cancel_aggressive,buy,2322.3,2322.295,2322.29,2322.3,0.04306085144315549,0.8214678756878246,False,,
18bps,1777018888.6025972,cancel_aggressive,buy,2322.3,2322.295,2322.29,2322.3,0.04306085144315549,0.8290336945227847,False,,
18bps,1777018888.8706536,cancel_aggressive,sell,2322.29,2322.295,2322.29,2322.3,0.04306085144315549,0.826189290725569,False,,
18bps,1777018889.3671756,cancel_aggressive,buy,2322.3,2322.295,2322.29,2322.3,0.04306085144315549,0.8443987333207026,False,,
18bps,1777018889.6011665,cancel_aggressive,sell,2322.29,2322.395,2322.39,2322.4,0.04305899728607011,0.8399419339229549,False,,
