ts,trade_id,trade_side,trade_px,trade_age_ms,has_active_quote,used_px_source,active_bid_px,active_ask_px,active_bid_qty,active_ask_qty,active_bid_ts,active_ask_ts,proximity_to_active_bid_bps,proximity_to_active_ask_bps,proximity_to_active_quote_bps,proximity_to_best_bps,danger_direction_match,tfi,spread_bps,quote_lifetime_sec,end_reason,quote_fade_nearby,quote_fade_dt_ms,valid_active_cancel_candidate
1777122107.1159866,1431919354469662720,buy,2313.39,8558.98666381836,True,active_quote,2309.18,2321.68,0.21,0.25,1777122106.8708377,1777122106.8708377,18.231580041400136,35.70690189862498,35.70690189862498,0.0,True,1.0,0.0432267002671995,0.2451488971710205,cancel_aggressive,True,250.91314315795898,False
1777122109.3671284,1431919354469662720,buy,2313.39,10810.128450393677,True,active_quote,2309.18,2321.68,0.21,0.25,1777122109.1405678,1777122109.1415865,18.231580041400136,35.70690189862498,35.70690189862498,0.0,True,1.0,0.0432267002671995,0.2265605926513672,cancel_aggressive,True,253.2026767730713,False
1777122110.1316435,1431919354469662720,buy,2313.39,11574.643611907959,True,active_quote,2309.18,2321.68,0.21,0.25,1777122109.871058,1777122109.871058,18.231580041400136,35.70690189862498,35.70690189862498,0.0,True,1.0,0.0432267002671995,0.2605855464935303,cancel_aggressive,True,487.3950481414795,False
1777122111.3719554,1431919354469662720,buy,2313.39,12814.955472946167,True,active_quote,2309.18,2321.68,0.21,0.25,1777122111.1252518,1777122111.1252518,18.231580041400136,35.70690189862498,35.70690189862498,0.0,True,1.0,0.0432267002671995,0.2467036247253418,cancel_aggressive,True,-505.1712989807129,False
1777122111.8728695,1431919354469662720,buy,2313.39,13315.869569778442,True,active_quote,2309.36,2321.87,0.21,0.25,1777122111.6270103,1777122111.6270103,17.450722278032636,36.52228591609357,36.52228591609357,0.0,True,1.0,0.0432267002671995,0.24585914611816406,cancel_aggressive,False,-1006.0853958129883,False
1777122112.3725073,1431919354469662720,buy,2313.39,13815.507411956787,True,active_quote,2309.38,2321.88,0.21,0.25,1777122112.1401901,1777122112.1401901,17.363967818201264,36.5651971678133,36.5651971678133,0.0,True,1.0,0.0432267002671995,0.23231720924377441,cancel_aggressive,False,-1505.723237991333,False
1777122112.8678074,1431919354469662720,buy,2313.39,14310.807466506958,True,active_quote,2309.37,2321.87,0.21,0.25,1777122112.625383,1777122112.625383,17.407344860286496,36.52228591609357,36.52228591609357,0.0,True,1.0,0.0432267002671995,0.24242448806762695,cancel_aggressive,False,-2001.023292541504,False
1777122113.370626,1431919354469662720,buy,2313.39,14813.626050949097,True,active_quote,2309.37,2321.87,0.21,0.25,1777122113.1383848,1777122113.1393845,17.407344860286496,36.52228591609357,36.52228591609357,0.0,True,1.0,0.0432267002671995,0.23224115371704102,cancel_aggressive,False,1994.1325187683105,False
1777122113.8677406,1431919354469662720,buy,2313.39,15310.74070930481,True,active_quote,2309.2200000000003,2321.7200000000003,0.21,0.25,1777122113.6240287,1777122113.6240287,18.05804557382847,35.878572782249286,35.878572782249286,0.0,True,1.0,0.0432267002671995,0.2437119483947754,cancel_aggressive,False,1497.0178604125977,False
1777122114.3687835,1431919354469662720,buy,2313.39,15811.7835521698,True,active_quote,2309.2000000000003,2321.7000000000003,0.21,0.25,1777122114.134736,1777122114.134736,18.144812056121598,35.792738079856996,35.792738079856996,0.0,True,1.0,0.0432267002671995,0.23404741287231445,cancel_aggressive,True,995.9750175476074,False
